dataset,Method,PLM,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,forward transfer,backward transfer,forgetting,time
webred,joint,albert,0,0,0,0,0,0,0,0,0.3,0.27,0.24,0.22,0.21,0.28,0.26,0.24,0.23,0.24,0.23,0.27,0.26,0.24,0.23,61.19,0,60.51,0,2.05
webred,joint,bert,0,0.13,0.09,0.06,0.97,0.81,0.69,0.61,0.81,0.75,0.7,0.68,0.75,0.79,0.74,0.75,0.71,0.67,0.63,0.6,0.57,0.58,0.55,69.78,-0.02,69.94,0,2.13
webred,joint,gpt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,1.54,1.47,66.06,0,65.1,0,2.12
webred,joint,roberta,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.2,0.19,0.17,0.16,0.15,0.15,0.14,0.13,0.12,0.12,0.11,71.89,0.01,71.24,0,2.11
webred,joint,xlnet,0,0,0,0,4.62,3.85,3.3,2.89,2.57,2.31,2.1,1.93,1.78,1.65,1.54,1.45,1.36,1.28,1.22,1.16,1.1,1.05,1.01,68.81,0.11,67.83,0,2.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webred,vanilla,albert,93.6,45.06,28.88,22.86,18.62,15.18,13.42,11.5,10.41,9.23,8.55,7.51,6.97,6.13,6.33,5.51,5.03,4.83,4.53,4.62,4.45,3.94,3.71,3.41,-0.38,-90.3,90.3,1.9
webred,vanilla,bert,98.19,49.36,31.56,23.15,19.05,16.39,12.81,12.44,10.9,8.65,9.13,9.43,7.45,7.13,6.73,6.72,7.43,6.94,4.99,6.06,4.98,4.96,4.26,4.21,-0.19,-95.72,95.72,1.97
webred,vanilla,gpt2,86.54,44.65,31.42,23.03,16.46,16.36,13.92,11.65,10.58,9.21,8.59,8.62,7.37,6.65,6.32,5.78,5.63,5.17,5.1,4.53,4.29,4.44,4.01,4.1,-1.02,-91.77,91.77,3.74
webred,vanilla,roberta,90.59,47.33,32.1,24.49,19.24,15.72,13.68,11.31,10.16,9.92,8.17,7.77,7.86,6.94,6.51,6.82,5.7,5.67,7.55,6.27,5.14,6.33,3.95,5.15,-0.57,-93.83,93.83,2.03
webred,vanilla,xlnet,96.05,51.2,33.92,24.07,21.86,15.91,14.87,14.51,13.47,12.92,11.67,8.23,7.68,8.97,8.09,6.95,6.16,7.49,5.67,5.43,4.48,4.28,6.76,4.9,-0.1,-93.03,93.03,2.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webred,er,albert,91.07,88.79,73.76,62.42,60.79,50.36,48.35,42.65,35.41,29.72,34.18,32.25,32.09,29.64,24.94,24.26,24.46,26.46,28.38,20.52,21.12,16.57,19.46,22.65,-0.13,-66.63,66.63,5.16
webred,er,bert,98.71,95.72,89.44,86.59,77.66,70.55,64.95,61.54,63.05,61.47,59.24,50.25,52.85,49.81,45.19,46.79,40.99,35.65,36.36,38.8,37.98,37.91,33.63,36.11,-1.14,-61.21,61.21,5.1
webred,er,gpt2,92.67,91.29,82.51,74.42,61.22,65.79,63.25,56.3,53.05,47.22,48.91,46.07,38.53,38.48,36.86,31.81,36.32,32.66,34.72,35.63,32.01,31.17,27.1,29.77,-0.04,-63.52,63.52,5.22
webred,er,roberta,97.63,90.23,77.53,78.69,80.67,72.31,72.33,70.74,66.05,60.32,55.74,56.31,54.92,52.87,51.27,41.71,46.76,44.92,42.44,42.24,38.04,40.26,39.71,36.24,-1.15,-60.11,60.11,5.04
webred,er,xlnet,93.44,88.25,85.85,84.94,71.27,71.09,68.72,62.57,58.61,57,56.29,56.6,54.73,47.52,50.36,47.12,46.55,45.93,44.06,40.31,39.95,35.29,38.5,39.36,-0.94,-57.39,57.39,7.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webred,ewc,albert,94.19,46.65,27.63,19.26,17.46,14.48,12.94,10.61,9.56,9.29,7.7,6.84,6.09,6.47,5.71,5.56,4.85,4.65,4.56,4.58,4.35,3.71,3.87,3.8,-0.62,-86.6,86.6,1.54
webred,ewc,bert,98.29,46.22,29.93,29.26,21.43,16.12,13.64,12.4,11.23,9.34,11.27,8.82,9.36,7.5,6.45,6.06,7.43,5.71,6.04,5.61,5.67,4.88,5.76,4.02,-0.41,-95.73,95.73,1.56
webred,ewc,gpt2,94.17,46.97,32.66,31.89,18.34,16.56,13.93,12.18,11.2,10.75,8.95,8.57,7.32,7,6.39,5.99,5.6,5.37,6.01,4.78,4.75,5.03,4.2,4.53,-1.15,-95.53,95.53,1.56
webred,ewc,roberta,90.6,43.32,28.97,21.32,18.6,16.05,13.87,11.99,10.56,9.71,8.92,8.08,7.47,6.65,6.38,5.93,5.81,5.84,5.65,5.02,4.32,4.52,4.07,3.99,-0.1,-92.84,92.84,1.61
webred,ewc,xlnet,94.42,48.66,34.44,24.48,19.62,15.26,13.95,14.31,10.55,9.87,8.76,7.52,8.58,9.59,7.7,6.04,6.44,5.53,5.11,5.01,4.56,5.38,6.42,4.13,-0.88,-94.89,94.89,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webred,derpp,albert,94.81,89.33,83.18,78.82,67.37,63.27,58.87,51.04,55.31,49.95,49.29,44.06,35.44,36.84,39.2,37.79,37,30.62,27.88,29.99,26.68,22.87,21.04,19.52,-0.37,-74.34,74.34,5.72
webred,derpp,bert,92.9,93.54,91.05,83.99,71.19,69.4,62.83,63.33,56.77,45.95,51.05,42.56,42.95,36.43,37.27,39.97,41.8,37.91,41.36,38.55,40.67,32.1,34.53,29.42,-0.34,-67.54,67.54,7.36
webred,derpp,gpt2,93.7,90.08,78.87,79.85,76.63,66.05,57.01,57.93,53.51,52.29,44.67,37.93,33.41,36.39,34.82,31.13,29.86,26.99,27.76,24.7,25.93,23.45,21.22,22.64,-0.58,-71.55,71.55,7.11
webred,derpp,roberta,92.26,91.29,82.45,80.73,74.88,68.12,69.97,68.46,65.13,64.08,61.2,54.03,56.29,53.73,45.21,41.57,39.83,37.09,30.95,34.81,33.05,34.09,34.66,35.1,-2.22,-61.84,61.84,7.25
webred,derpp,xlnet,92.86,90.61,86.11,75.83,73.53,65.76,62.94,58.68,53.47,54.35,51.25,44.53,40.92,38.27,39.67,43.25,38.46,29.51,30.5,29.73,32.24,28.98,28.48,30.13,-0.25,-65.82,65.82,9.73